link,headline,source,date,description,category
https://edition.cnn.com/2024/09/15/politics/kamala-harris-mentor-women/index.html,The women Kamala Harris has mentored,CNN,2024-09-15,"Backstage, Kamala Harris pulled aside Jahana Hayes. She’d give the congresswoman her local press boost and photo op, but first, the vice president needed to talk about why she was popping into Connecticut of all places during the final month of her 2022 midterm campaigning: Hayes wasn’t raising enough money.",politics
https://edition.cnn.com/2024/09/12/politics/trump-harris-debate-fallout-analysis/index.html,Trump allies do damage control as Harris rides fresh momentum post-debate,CNN,2024-09-12,Ex-President Donald Trump is equivocating over the possibility of a second debate with Kamala Harris after his dud display in their first showdown prompted his team and conservative media allies to mount a frantic cleanup operation.,politics
https://edition.cnn.com/2024/09/13/politics/isis-leaders-killed-raid-centcom/index.html,"Four ISIS leaders were killed in western Iraq raid last month, US military says",CNN,2024-09-13,"Four ISIS leaders were killed as a result of raid in western Iraq late last month, the US military said Friday.",politics
https://edition.cnn.com/2024/09/13/politics/trump-no-debate-rematch-analysis/index.html,Why Trump ditched a debate rematch – for now,CNN,2024-09-13,The great showman just turned his back on tens of millions of viewers.,politics
https://edition.cnn.com/2024/09/15/politics/video/sotu-springfield-ohio-mayor-full-interview,Springfield mayor: ‘It would be helpful’ if politicians ‘understood the weight of their words’,CNN,2024-09-15,Springfield mayor: ‘It would be helpful’ if politicians ‘understood the weight of their words’,politics
https://edition.cnn.com/2024/09/09/politics/kfile-harris-pledged-support-in-2019-to-cut-ice-funding-and-provide-transgender-surgery-to-detained-migrants/index.html,KFile: Harris told ACLU in 2019 she supports cuts to ICE funding and providing gender transition surgery to detained migrants,CNN,2024-09-09,"As Kamala Harris pivots to the political center in her campaign for president, a 2019 questionnaire from a leading civil rights organization spotlights her past support for left-wing causes such as taxpayer-funded gender transition surgeries for detained immigrants and federal prisoners.",politics
https://edition.cnn.com/2024/08/06/politics/gallery/tim-walz/index.html,In pictures: Harris running mate Tim Walz,CNN,2024-08-06,In pictures: Harris running mate Tim Walz,politics
https://edition.cnn.com/2024/09/11/politics/taylor-swift-kamala-harris-endorsement/index.html,How Taylor Swift’s endorsement of Kamala Harris matters,CNN,2024-09-11,It was the Instagram endorsement read ‘round the world: Pop superstar Taylor Swift backs Kamala Harris for president. Swift’s post also directed her followers to register to vote.,politics
https://edition.cnn.com/2024/09/07/politics/elections-voting-security-what-matters/index.html,How secure and reliable are US elections? You’d be surprised,CNN,2024-09-07,"With election season underway, you’re bound to hear from former President Donald Trump that an army of undocumented immigrants is trying to vote in the presidential election. You may hear from Democrats that GOP efforts to pass new voting laws is a form of voter suppression.",politics
https://edition.cnn.com/2024/09/13/politics/biden-administration-rt-russian-intelligence/index.html,Biden administration unveils new evidence of RT’s key role in Russian intelligence operations globally,CNN,2024-09-13,The Biden administration on Friday announced a major effort to blunt the global influence of RT and expose what it says is the Russian state media network’s key role in the Kremlin’s global intelligence and influence operations.,politics
https://edition.cnn.com/2024/09/11/politics/early-voting-election-what-matters/index.html,The first 2024 ballots are in the mail. Here’s what to know,CNN,2024-09-11,"It’s not one election, but 51, that pick the US president. Every state and the District of Columbia has its own rules and deadlines for voting and for counting votes.",politics
https://edition.cnn.com/2024/09/13/politics/donald-trump-laura-loomer/index.html,"Trump says he doesn’t control far-right agitator Laura Loomer, calls her a ‘free spirit’",CNN,2024-09-13,"Former President Donald Trump said Friday that he doesn’t control far-right agitator Laura Loomer, whom he described as a “free spirit” and “supporter.”",politics
https://edition.cnn.com/2024/09/13/politics/nebraska-ballot-abortion/index.html,"Nebraska ballot can include competing measures to expand or limit abortion rights, high court rules",CNN,2024-09-13,The Nebraska Supreme Court ruled Friday that competing measures that would expand or limit abortion rights can appear on the November ballot.,politics
https://edition.cnn.com/2024/09/15/politics/donald-trump-safe-shots/index.html,Trump safe after being targeted in second apparent assassination attempt,CNN,2024-09-15,"The FBI is investigating what it said is an apparent assassination attempt on Donald Trump at his Florida golf club Sunday, the second time in two months there’s been an apparent attempt on the former president’s life.",politics
https://edition.cnn.com/2024/09/12/politics/undocumented-immigrants-voting-what-matters/index.html,What the data actually shows about whether undocumented immigrants vote in US elections,CNN,2024-09-12,House Republicans are flirting with the idea of forcing a government shutdown over the issue of noncitizens voting in US elections.,politics
https://edition.cnn.com/2024/09/13/politics/state-department-diplomatic-security-officer-pleads-guilty-to-storming-capitol/index.html,State Department diplomatic security officer pleads guilty to storming Capitol,CNN,2024-09-13,"A man who worked as a US State Department diplomatic security officer pleaded guilty on Friday to joining a mob’s attack on the US Capitol over three years ago, court records show.",politics
https://edition.cnn.com/2024/09/14/politics/navajo-voters-arizona-election/index.html,Both parties court Navajo voters in battleground Arizona,CNN,2024-09-14,"Nearing the end of the annual Navajo Nation parade route last Saturday, the Arizona Republican Party’s float — pulled by an 18-wheeler and adorned with Trump-Vance campaign signs — came to a halt.",politics
https://edition.cnn.com/2024/09/15/politics/house-republican-ivf-fight/index.html,House GOP split on how to address IVF messaging as some push Speaker Johnson to hold a vote before the election,CNN,2024-09-15,Multiple House Republicans have been working behind the scenes to convince Speaker Mike Johnson to hold a vote on legislation supporting in vitro fertilization before the November elections but told CNN their efforts have so far been brushed off or even denied.,politics
https://edition.cnn.com/2024/09/12/politics/springfield-ohio-migrants-jd-vance/index.html,Fear and frustration in Ohio city as political debate seizes on growing Haitian population,CNN,2024-09-12,"Rose Goute Creole restaurant does a bustling business in Springfield, Ohio, with clientele drawn from across the city to its heaping displays of patties and donuts, and pots of perfumed rice, fried pork and fish, and golden plantains.",politics
https://edition.cnn.com/2024/09/15/politics/trump-golf-course-security-challenges/index.html,Golf courses — in particular Trump’s — have long proved a difficult assignment for Secret Service,CNN,2024-09-15,"Golf courses, and in particular former President Donald Trump’s own properties, have long been a source of concern among Secret Service officials tasked with securing the grounds while the commander in chief plays, according to people familiar with the matter.",politics
https://edition.cnn.com/2024/04/28/politics/state-abortion-ballot-measure-vote-dg/index.html,These are the states where abortion rights will – or could – be on the ballot in November,CNN,2024-04-28,"This November, voters in at least 10 states will take to the polls to determine the future of abortion access in their state, after a nationwide effort by organizers to secure a wave of ballot measures aimed at restoring or protecting the right to an abortion — and some aimed at restricting it.",politics
https://edition.cnn.com/2024/09/09/politics/fact-check-trump-vance-tariffs/index.html,Fact check: Trump and Vance keep falsely describing how tariffs work,CNN,2024-09-09,"Former President Donald Trump and Republican vice presidential nominee Sen. JD Vance continue to falsely describe how one of their major policy proposals, across-the-board tariffs, would work.",politics
https://edition.cnn.com/2024/09/11/politics/presidential-debate-trump-harris-what-matters/index.html,27 lines to explain the Trump-Harris presidential debate,CNN,2024-09-11,"Vice President Kamala Harris and former President Donald Trump faced off on facts, dueled on policy and traded barbs during the presidential debate hosted by ABC News on Tuesday, in which Trump also veered off on a tangent about immigrants eating pets.",politics
https://edition.cnn.com/2024/09/13/travel/australian-airline-passenger-fine-cost-fuel-intl-hnk/index.html,"Passenger ordered to pay more than $5,000 in fuel costs after flight diverted due to bad behavior",CNN,2024-09-13,A problematic airline passenger has been hit with an unusual form of punishment – he has to pay back the airline for the cost of fuel.,travel
https://edition.cnn.com/2024/09/09/travel/national-park-rangers-call-out-world-changing-impact-of-dropped-cheetos-bag/index.html,National Park calls out ‘world changing’ impact of dropped Cheetos bag,CNN,2024-09-09,"Plain water is the only thing visitors are allowed to consume inside the huge cavern at Carlsbad Caverns National Park in New Mexico. Cheetos are a no-go, and the recent park visitor who dropped a bag full of them created a “huge impact” on the cave’s ecosystem, the park said Friday in a Facebook post.",travel
https://edition.cnn.com/2024/05/28/travel/bolivia-cuisine-top-restaurants-dishes/index.html,Why this is Latin America’s next dining destination,CNN,2024-05-28,"Bolivia doesn’t seem like an obvious foodie destination. But the big, landlocked South American country is making waves in the culinary world via top-notch restaurants and transforming foodways pioneered by the ancient Inca and Aymara peoples into modern fusion dishes.",travel
https://edition.cnn.com/travel/walker-hotel-tribeca-self-love-pod-wellness/index.html,A hotel is offering ‘self-love pods’ for solo play. Here’s why that’s a thing,CNN,2024-09-11,"Across America, and around the world, more and more people are going it alone.",travel
https://edition.cnn.com/travel/hamburg-bunker-anti-aircraft-flak-tower-germany/index.html,Former Nazi bunker turned into hotel and leisure complex in Germany,CNN,2024-08-14,"At 58 meters tall - just a little taller than the Leaning Tower of Pisa, but with considerably more heft - the St. Pauli bunker in Hamburg, Germany, has dominated the city skyline for just over 80 years.",travel
https://edition.cnn.com/travel/atlanta-subway-railcars-atlantic-reef/index.html,Atlanta’s subway cars are now home to endangered sea turtles and coral reefs,CNN,2024-09-12,"Railcars once filled with hustling commuters in the city of Atlanta are now 65 feet below the Atlantic Ocean filled with inquisitive fish, sea turtles and coral.",travel
https://edition.cnn.com/2024/09/09/travel/madrid-electric-scooter-ban-scli-intl/index.html,"Madrid bans rental e-scooters, saying operators didn’t meet requirements",CNN,2024-09-09,"Authorities in Madrid have announced that they will revoke the operating licenses of e-scooter rental companies Lime, Dott and Tier – a move that will see rented e-scooters banished from the streets of the Spanish capital.",travel
https://edition.cnn.com/2024/09/11/travel/carnival-cruise-ship-collides-with-iceberg/index.html,Carnival cruise ship collides with large piece of ice,CNN,2024-09-11,"The words “Titanic moment” are possibly the last thing you want to hear on a boat – but that was the phrase used by one passenger on board the Carnival Spirit cruise ship last week, after the vessel unexpectedly struck a large piece of ice.",travel
https://edition.cnn.com/2024/09/14/travel/strange-room-service-orders/index.html,Behind closed doors: Hotels reveal their wildest room service orders,CNN,2024-09-14,"In travel news this week: odd room service requests, the cruise passengers stranded for months at their departure port, plus how a rogue bag of Cheetos caused havoc in a New Mexico cave.",travel
https://edition.cnn.com/2024/09/12/travel/best-airline-rewards-programs-pointme/index.html,"These are the world’s best airline rewards programs, according to Point.me",CNN,2024-09-12,"Having trouble navigating the complicated, often frustrating, world of airline loyalty programs?",travel
https://edition.cnn.com/2024/09/06/travel/rome-considering-limiting-tourist-access-trevi-fountain-intl-scli/index.html,Rome may limit tourist access to Trevi Fountain,CNN,2024-09-06,"Rome is considering limiting access to the Trevi Fountain, one of its busiest monuments, ahead of an expected bumper year for tourism in the Eternal City, city council officials say.",travel
https://edition.cnn.com/travel/teenage-summer-crush-reunited-romance-chance-encounters/index.html,Her teenage summer crush unexpectedly came back into her life. ‘I felt like I was reconnecting with my best friend’,CNN,2024-09-13,"Years afterward, Iga Olszak often thought about the moment she first spotted Vlad Dimovski, on the sandy shores of Skotina, in Greece.",travel
https://edition.cnn.com/2024/09/13/travel/video/blind-travel-joann-becker-cprog-digvid,"She was born blind, but she travels the world by herself",CNN,2024-09-13,"She was born blind, but she travels the world by herself",travel
https://edition.cnn.com/2024/09/13/travel/video/bear-strolls-down-california-beach-digvid,Woman films bear strolling down beach and going for a swim in California,CNN,2024-09-13,Woman films bear strolling down beach and going for a swim in California,travel
https://edition.cnn.com/travel/vacation-fling-love-story-chance-encounters/index.html,He thought the guy he met on vacation was just a fling. He turned out to be the love of his life,CNN,2024-02-23,Guillermo Barrantes relationship with Larry Mock was supposed to begin and end in Palm Springs.,travel
https://edition.cnn.com/travel/las-vegas-family-attractions/index.html,Why Las Vegas might be the hottest family destination in America right now,CNN,2024-09-09,"Las Vegas has become known as a place where anything can happen, so it’s not surprising that a new attraction enables visitors of all ages to bring animal drawings to life.",travel
https://edition.cnn.com/2024/09/10/travel/delta-planes-collide-taxiing-atlanta-airport/index.html,"2 Delta planes collide while taxiing at Atlanta airport, knocking tail section from one",CNN,2024-09-10,Two Delta Air Lines planes collided as both were taxiing for takeoff from Atlanta’s busy Hartsfield-Jackson International Airport on Tuesday morning.,travel
https://edition.cnn.com/travel/sumela-ancient-monastery-hanging-from-cliff-turkey/index.html,The ancient monastery hanging from the side of a cliff,CNN,2024-09-14,"If its ancient walls could talk, Sümela Monastery in eastern Turkey would have quite a few stories to tell.",travel
https://edition.cnn.com/travel/article/eva-longoria-searching-for-mexico-restaurants/index.html,All the restaurants and locations Eva Longoria visits in ‘Searching for Mexico’,CNN,2023-05-01,You’ll no doubt be hungry after watching “Eva Longoria: Searching for Mexico.”,travel
https://edition.cnn.com/travel/us-woman-teaches-french-how-to-cook/index.html,The US woman who teaches French people how to cook French food,CNN,2024-09-06,"For many people, the idea of moving to France usually conjures up dreams of romance or – because this is the land of Michelin stars and cafe culture – food.",travel
https://edition.cnn.com/travel/viral-nine-month-cruise-ends-tiktok-life-on-board/index.html,The viral nine-month cruise is ending. Here’s what it was really like on board,CNN,2024-09-10,"Within weeks of Royal Caribbean’s nine-month-long world cruise setting sail in December 2023, the voyage unexpectedly became the center of a social media storm.",travel
https://edition.cnn.com/2024/09/10/travel/european-travelers-uk-entry-fee-eta/index.html,European travelers will have to pay to enter the UK in 2025,CNN,2024-09-10,European travelers visiting the UK without a visa will soon be required to pay a £10 (around $13) waiver fee.,travel
https://edition.cnn.com/2024/09/10/travel/china-travel-tips-visas-mobile-payments-intl-hnk/index.html,Planning a trip to China can be confusing. Here are the issues tripping up many foreign tourists,CNN,2024-09-10,Traveling to China as a foreigner isn’t the simplest affair.,travel
https://edition.cnn.com/travel/article/breakfast-tacos-origins-mexico-texas/index.html,A short history of the long fight over breakfast tacos,CNN,2023-04-16,Two simple words can spark mouth-watering bliss or a series of blistering retorts in Texans: Breakfast tacos.,travel
https://edition.cnn.com/travel/margraten-netherlands-american-soldiers-gravesites/index.html,A culture of commemoration is still thriving in this Dutch town 80 years after its liberation,CNN,2024-09-12,"On a cold, wet March day, about 20 river cruise passengers, many from the United States, follow their Dutch tour guide through rows of rain-soaked gravestones at the Netherlands American Cemetery and Memorial.",travel
https://edition.cnn.com/2024/09/15/travel/california-man-frontier-flight-arrest/index.html,"Passenger arrested after trying to choke flight attendant and saying plane ‘is going down’ on California flight, DOJ says",CNN,2024-09-15,"A California man is facing federal charges after he allegedly tried to choke a flight attendant and “said he was going to kill everybody” while on board a Frontier Airlines flight to San Francisco that had to be diverted on Monday, authorities said.",travel
https://edition.cnn.com/2024/09/13/travel/southwest-alaska-near-collision-nashville-runway/index.html,"Southwest and Alaska Airlines planes nearly collide on Nashville airport runway, spurring FAA investigation",CNN,2024-09-13,The Federal Aviation Administration and the National Transportation Safety Board are probing a near-collision between two planes on an airport runway in Nashville Thursday morning — the latest close call involving commercial flights.,travel
https://edition.cnn.com/travel/scenic-fall-drives-united-states-2024/index.html,6 scenic fall drives where you can get your foliage fix this year,CNN,2024-09-15,"The annual rituals of autumn – shoulder season vacations, weekend football games, the unpacking of sweaters, the pumpkin spice tsunami – are upon us. And then there’s perhaps the best of them all: the scenic fall drive.",travel
https://edition.cnn.com/2024/09/14/travel/pigmy-hippo-thailand-latest-online-sensation-intl-hnk/index.html,Baby pygmy hippo Moo Deng is Thailand’s latest online sensation. But her keeper is worried about her fame,CNN,2024-09-14,"With her pinkish cheeks and natural charisma, two-month-old pygmy hippo Moo Deng is making millions of fans online and drawing bumper crowds to the Thai zoo where she lives.",travel
https://edition.cnn.com/travel/perfect-waves-angola-surfing-worlds-best-kept-secret/index.html,‘Perfect waves and no crowds:’ Angola could be the surfing world’s best-kept secret,CNN,2024-09-09,"Think of surfing and your mind might jump to the beaches of Hawaii, perhaps the Atlantic rollers of Portugal or more classic spots like California or Australia.",travel
https://edition.cnn.com/2024/08/19/travel/jumeirah-burj-al-arab-helipad-spc/index.html,‘World’s most famous’ helipad on Burj al Arab turns 25,CNN,2024-08-19,Dubai in 1993 was a world away from the global capital of today.,travel
https://edition.cnn.com/travel/married-southwest-pilots/index.html,They fell in love three decades ago. Now they pilot planes together,CNN,2024-02-06,"On their first flight together, Joel Atkinson and Shelley Atkinson couldn’t contain their excitement. They enthused to the flight attendants. They posed for photos. They told passengers via a pre-flight announcement.",travel
https://edition.cnn.com/2015/07/20/travel/shark-attack-how-to-survive/index.html,"How to survive a shark attack – or better yet, avoid one entirely",CNN,2015-07-20,"First things first. Despite some truly terrifying tales of survival, you are incredibly unlikely to be duking it out with a shark any time soon.",travel
https://edition.cnn.com/travel/waffle-origin-history-ancient-romans/index.html,How waffles evolved from an Ancient Roman delicacy to one of the world’s most popular treats,CNN,2024-08-23,"Made from leavened batter or dough cooked between two patterned plates, waffles are thought to be one of the oldest desserts around.",travel
https://edition.cnn.com/travel/worlds-best-pizza-2024-new-york-city/index.html,The world’s best pizza for 2024 isn’t in Naples – or even in Italy. Here’s where it is …,CNN,2024-09-13,Many New Yorkers will gladly tell anyone who’ll listen – and even those who won’t – about how they have the best pizza. And now they’ve got some mouth-watering new back-up for their long-standing culinary claims.,travel
https://edition.cnn.com/travel/paris-rooftop-bar-erin-tridle-chance-encounters/index.html,She met a man on a rooftop bar on her first night in Paris. Her life changed forever,CNN,2024-09-06,"To Erin Tridle, it felt as though the universe paved the way for her to meet the love of her life years before their actual meeting.",travel
https://edition.cnn.com/2024/09/10/travel/bali-considering-ban-new-hotels-intl-hnk/index.html,Bali considering a ban on new hotels amid overtourism struggles,CNN,2024-09-10,"Indonesia has agreed to set a moratorium on the construction of hotels, villas and nightclubs in some areas on the tourist resort island of Bali, as it grapples with the over-development of land, a senior ministry official said on September 9.",travel
https://edition.cnn.com/2024/09/13/travel/fedex-pilots-interview-near-collision-austin/index.html,‘Go around. Go around. Go around’: Pilots who came within 150 feet of a crash share how they deftly averted disaster,CNN,2024-09-13,"The weather was about as bad as it gets, in terms of dense fog. The pilots of a FedEx cargo plane couldn’t see the runway or the airfield at Austin-Bergstrom International Airport. But they’re trained for such “Category III” approaches — an automated approach when pilots don’t need to see to land, as long as everything in the aircraft is functioning properly. And it was.",travel
https://edition.cnn.com/2022/07/03/travel/drowning-water-safety-tips-wellness/index.html,How to survive rip currents and other drowning hazards,CNN,2022-07-03,"On Good Friday 2017, Wyatt Werneth got a call from his wife, who had gone grocery shopping with their daughter: The car’s broken down. Please rescue us.",travel
https://edition.cnn.com/travel/travel-news-us-tourism-leader/index.html,"Work hard, play hard: How US vacations made America No. 1 in the world",CNN,2024-09-07,"In travel news this week: booze-free bars are on the rise, the unexpected perks of traveling with kids, plus the countries whose tourism economies are booming.",travel
https://edition.cnn.com/travel/article/chance-encounters-florence-italy-kacie-rose/index.html,She went on a solo trip to Italy. Right away she met the love of her life,CNN,2023-09-22,"Kacie Rose Burns walked into the Florence jazz bar, alone.",travel
https://edition.cnn.com/travel/how-to-survive-avoid-wildfire/index.html,Wildfire safety tips from the experts,CNN,2024-07-31,Walls of bright orange flames. Harrowing escapes. The charred shells of what’s left behind. It’s hard not to be terrified by images of deadly wildfires.,travel
https://edition.cnn.com/travel/mexico-canada-relocation-open-bnb/index.html,"After losing her job, she convinced her husband to move to Mexico and open up a B&B. Here’s what happened next",CNN,2024-08-26,"After years of traveling together, Brooke and Rick Gazer, both from Canada, were used to staying in interesting places.",travel
https://edition.cnn.com/videos/travel/2023/03/06/torta-ahogada-sandwich-eva-longoria-origseriesfilms.eva-longoria-searching-for-mexico,This legendary sandwich was created by accident,CNN,2023-03-06,This legendary sandwich was created by accident,travel
https://edition.cnn.com/2024/09/11/health/boars-head-recall-virginia-plant/index.html,"‘Major deficiencies’ found at Boar’s Head plant almost two years before deli meat recall, documents show",CNN,2024-09-11,"Nearly two years before a deadly listeria outbreak linked to recalled deli meat, inspectors at a Virginia Boar’s Head plant detailed poor physical conditions that “could pose an imminent threat,” documents from the US Department of Agriculture’s Food Safety Inspection Service show.",health
https://edition.cnn.com/2024/09/11/health/football-kickoff-head-injuries/index.html,How changing this one play may reduce football head injuries,CNN,2024-09-11,"From the very first play this season, NFL football has looked a lot different. The league has dramatically changed its kickoff rules in an effort to reduce injuries.",health
